Date,Instagram reach
2023-11-25T00:00:00,64358
2023-11-26T00:00:00,58697
2023-11-27T00:00:00,50766
2023-11-28T00:00:00,54373
2023-11-29T00:00:00,50188
2023-11-30T00:00:00,36290
2023-12-01T00:00:00,36760
2023-12-02T00:00:00,34121
2023-12-03T00:00:00,35159
2023-12-04T00:00:00,37259
2023-12-05T00:00:00,36993
2023-12-06T00:00:00,51028
2023-12-07T00:00:00,42299
2023-12-08T00:00:00,39843
2023-12-09T00:00:00,43256
2023-12-10T00:00:00,49872
2023-12-11T00:00:00,46505
2023-12-12T00:00:00,39585
2023-12-13T00:00:00,30135
2023-12-14T00:00:00,34592
2023-12-15T00:00:00,34681
2023-12-16T00:00:00,33083
2023-12-17T00:00:00,31342
2023-12-18T00:00:00,26562
2023-12-19T00:00:00,22119
2023-12-20T00:00:00,23183
2023-12-21T00:00:00,20108
2023-12-22T00:00:00,18793
2023-12-23T00:00:00,16431
2023-12-24T00:00:00,17075
2023-12-25T00:00:00,16881
2023-12-26T00:00:00,20798
2023-12-27T00:00:00,25612
2023-12-28T00:00:00,25070
2023-12-29T00:00:00,22686
2023-12-30T00:00:00,19555
2023-12-31T00:00:00,23887
2024-01-01T00:00:00,25451
2024-01-02T00:00:00,21871
2024-01-03T00:00:00,28045
2024-01-04T00:00:00,31426
2024-01-05T00:00:00,35156
2024-01-06T00:00:00,30881
2024-01-07T00:00:00,29980
2024-01-08T00:00:00,29092
2024-01-09T00:00:00,33687
2024-01-10T00:00:00,38209
2024-01-11T00:00:00,34486
2024-01-12T00:00:00,36539
2024-01-13T00:00:00,31826
2024-01-14T00:00:00,29354
2024-01-15T00:00:00,30277
2024-01-16T00:00:00,24114
2024-01-17T00:00:00,22497
2024-01-18T00:00:00,36816
2024-01-19T00:00:00,18850
2024-01-20T00:00:00,15411
2024-01-21T00:00:00,23006
2024-01-22T00:00:00,22257
2024-01-23T00:00:00,19413
2024-01-24T00:00:00,20392
2024-01-25T00:00:00,19793
2024-01-26T00:00:00,23358
2024-01-27T00:00:00,29541
2024-01-28T00:00:00,26580
2024-01-29T00:00:00,24459
2024-01-30T00:00:00,26401
2024-01-31T00:00:00,28053
2024-02-01T00:00:00,25138
2024-02-02T00:00:00,19939
2024-02-03T00:00:00,48309
2024-02-04T00:00:00,57526
2024-02-05T00:00:00,61022
2024-02-06T00:00:00,61822
2024-02-07T00:00:00,26224
2024-02-08T00:00:00,24975
2024-02-09T00:00:00,28476
2024-02-10T00:00:00,24834
2024-02-11T00:00:00,27249
2024-02-12T00:00:00,28076
2024-02-13T00:00:00,26542
2024-02-14T00:00:00,24477
2024-02-15T00:00:00,25137
2024-02-16T00:00:00,23645
2024-02-17T00:00:00,20195
2024-02-18T00:00:00,24079
2024-02-19T00:00:00,25884
2024-02-20T00:00:00,18755
2024-02-21T00:00:00,22528
2024-02-22T00:00:00,18026
2024-02-23T00:00:00,20873
2024-02-24T00:00:00,16639
2024-02-25T00:00:00,14482
2024-02-26T00:00:00,17726
2024-02-27T00:00:00,32823
2024-02-28T00:00:00,87649
2024-03-01T00:00:00,91367
2024-03-02T00:00:00,50625
2024-03-03T00:00:00,12823
2024-03-04T00:00:00,15866
2024-03-05T00:00:00,19175
2024-03-06T00:00:00,17065
2024-03-07T00:00:00,56023
2024-03-08T00:00:00,70632
2024-03-09T00:00:00,20629
2024-03-10T00:00:00,17595
2024-03-11T00:00:00,31142
2024-03-12T00:00:00,35195
2024-03-13T00:00:00,43031
2024-03-14T00:00:00,38135
2024-03-15T00:00:00,22214
2024-03-16T00:00:00,23075
2024-03-17T00:00:00,17173
2024-03-18T00:00:00,18978
2024-03-19T00:00:00,45343
2024-03-20T00:00:00,59259
2024-03-21T00:00:00,23662
2024-03-22T00:00:00,18075
2024-03-23T00:00:00,16319
2024-03-24T00:00:00,15612
2024-03-25T00:00:00,21229
2024-03-26T00:00:00,16080
2024-03-27T00:00:00,15622
2024-03-28T00:00:00,18645
2024-03-29T00:00:00,41238
2024-03-30T00:00:00,50490
2024-03-31T00:00:00,22014
